ZONEID,TIMESTAMP,LOAD
1,1252011 17:00,112.1
1,1252011 18:00,132.5
1,1252011 19:00,138.8
1,1252011 20:00,135.5
1,1252011 21:00,131.7
1,1252011 22:00,122.2
1,1252011 23:00,110.1
1,1262011 0:00,96.6
1,1262011 1:00,88.1
1,1262011 2:00,84.6
1,1262011 3:00,83.1
1,1262011 4:00,83.3
1,1262011 5:00,87.2
1,1262011 6:00,97.7
1,1262011 7:00,118.2
1,1262011 8:00,120.8
1,1262011 9:00,112.8
1,1262011 10:00,107.5
1,1262011 11:00,105
1,1262011 12:00,103.5
1,1262011 13:00,102.1
1,1262011 14:00,101.1
1,1262011 15:00,100.2
1,1262011 16:00,101.8
1,1262011 17:00,106.9
1,1262011 18:00,126.9
1,1262011 19:00,133.4
1,1262011 20:00,132.5
1,1262011 21:00,128.6
1,1262011 22:00,120.4
1,1262011 23:00,106.7
1,1272011 0:00,92.9
1,1272011 1:00,84.3
1,1272011 2:00,80.4
1,1272011 3:00,78.1
1,1272011 4:00,78.3
1,1272011 5:00,80.8
1,1272011 6:00,91
1,1272011 7:00,111.2
1,1272011 8:00,114.2
1,1272011 9:00,108.2
1,1272011 10:00,104.7
1,1272011 11:00,105.1
1,1272011 12:00,105.6
1,1272011 13:00,105.8
1,1272011 14:00,103.7
1,1272011 15:00,103.2
1,1272011 16:00,104.8
1,1272011 17:00,108.8
1,1272011 18:00,129
1,1272011 19:00,135.3
1,1272011 20:00,130.5
1,1272011 21:00,125.5
1,1272011 22:00,115.7
1,1272011 23:00,105.6
1,1282011 0:00,96.8
1,1282011 1:00,92.4
1,1282011 2:00,92.3
1,1282011 3:00,94.9
1,1282011 4:00,100.1
1,1282011 5:00,111.2
1,1282011 6:00,131.1
1,1282011 7:00,162.4
1,1282011 8:00,168.5
1,1282011 9:00,155.1
1,1282011 10:00,145.1
1,1282011 11:00,134.5
1,1282011 12:00,126.2
1,1282011 13:00,119.2
1,1282011 14:00,115.9
1,1282011 15:00,111.8
1,1282011 16:00,114.1
1,1282011 17:00,129.9
1,1282011 18:00,163.3
1,1282011 19:00,180.7
1,1282011 20:00,186.2
1,1282011 21:00,189.3
1,1282011 22:00,186
1,1282011 23:00,175
1,1292011 0:00,162.9
1,1292011 1:00,157.5
1,1292011 2:00,156.8
1,1292011 3:00,157.9
1,1292011 4:00,160.4
1,1292011 5:00,165.7
1,1292011 6:00,178.4
1,1292011 7:00,198.8
1,1292011 8:00,195.9
1,1292011 9:00,175.6
1,1292011 10:00,157.4
1,1292011 11:00,141.1
1,1292011 12:00,131.7
1,1292011 13:00,126.2
1,1292011 14:00,120.2
1,1292011 15:00,117.4
1,1292011 16:00,118.9
1,1292011 17:00,129.7
1,1292011 18:00,152.3
1,1292011 19:00,157.5
1,1292011 20:00,154.1
1,1292011 21:00,151.5
1,1292011 22:00,145.9
1,1292011 23:00,137.7
1,12102011 0:00,126.7
1,12102011 1:00,118.2
1,12102011 2:00,114.3
1,12102011 3:00,112.5
1,12102011 4:00,113.2
1,12102011 5:00,117.4
1,12102011 6:00,124.4
1,12102011 7:00,135.9
1,12102011 8:00,146.4
1,12102011 9:00,158.2
1,12102011 10:00,157.3
1,12102011 11:00,150.8
1,12102011 12:00,145.6
1,12102011 13:00,139.7
1,12102011 14:00,133.2
1,12102011 15:00,130.3
1,12102011 16:00,132.9
1,12102011 17:00,142.9
1,12102011 18:00,167
1,12102011 19:00,174.8
1,12102011 20:00,177.6
1,12102011 21:00,181.5
1,12102011 22:00,181.6
1,12102011 23:00,178.7
1,12112011 0:00,171.8
1,12112011 1:00,166.3
1,12112011 2:00,165
1,12112011 3:00,165.8
1,12112011 4:00,167.5
1,12112011 5:00,171.8
1,12112011 6:00,178.6
1,12112011 7:00,188.8
1,12112011 8:00,200.4
1,12112011 9:00,204.1
1,12112011 10:00,191
1,12112011 11:00,171.5
1,12112011 12:00,153.1
1,12112011 13:00,143.7
1,12112011 14:00,137.1
1,12112011 15:00,132.4
1,12112011 16:00,133.8
1,12112011 17:00,149.3
1,12112011 18:00,179.1
1,12112011 19:00,190.2
1,12112011 20:00,195.3
1,12112011 21:00,198.3
1,12112011 22:00,192.6
1,12112011 23:00,180.5
1,12122011 0:00,166.5
1,12122011 1:00,158.6
1,12122011 2:00,154.3
1,12122011 3:00,153.2
1,12122011 4:00,154.2
1,12122011 5:00,158.7
1,12122011 6:00,172
1,12122011 7:00,193.4
1,12122011 8:00,190.8
1,12122011 9:00,177.5
1,12122011 10:00,166.9
1,12122011 11:00,154.2
1,12122011 12:00,143
1,12122011 13:00,137.2
1,12122011 14:00,133.9
1,12122011 15:00,132.9
1,12122011 16:00,136.2
1,12122011 17:00,148
1,12122011 18:00,171.7
1,12122011 19:00,178.6
1,12122011 20:00,179.9
1,12122011 21:00,176.2
1,12122011 22:00,166.2
1,12122011 23:00,154.2
1,12132011 0:00,141.6
1,12132011 1:00,136.1
1,12132011 2:00,134.8
1,12132011 3:00,136.2
1,12132011 4:00,139.4
1,12132011 5:00,146.2
1,12132011 6:00,160.6
1,12132011 7:00,184.4
1,12132011 8:00,185.3
1,12132011 9:00,171.2
1,12132011 10:00,155.1
1,12132011 11:00,141.6
1,12132011 12:00,129.4
1,12132011 13:00,120.9
1,12132011 14:00,117.3
1,12132011 15:00,113.7
1,12132011 16:00,114.4
1,12132011 17:00,124.9
1,12132011 18:00,156.6
1,12132011 19:00,173.2
1,12132011 20:00,176.7
1,12132011 21:00,179.8
1,12132011 22:00,177.1
1,12132011 23:00,168
1,12142011 0:00,156.9
1,12142011 1:00,151.5
1,12142011 2:00,150.5
1,12142011 3:00,150.4
1,12142011 4:00,152.1
1,12142011 5:00,159.1
1,12142011 6:00,174.8
1,12142011 7:00,196.9
1,12142011 8:00,192.5
1,12142011 9:00,176.8
1,12142011 10:00,161.6
1,12142011 11:00,147.5
1,12142011 12:00,134.6
1,12142011 13:00,123.7
1,12142011 14:00,118.2
1,12142011 15:00,115.4
1,12142011 16:00,116.2
1,12142011 17:00,129.4
1,12142011 18:00,157
1,12142011 19:00,167.6
1,12142011 20:00,168.3
1,12142011 21:00,168.4
1,12142011 22:00,161.1
1,12142011 23:00,148.1
1,12152011 0:00,133.8
1,12152011 1:00,127
1,12152011 2:00,125.4
1,12152011 3:00,125.7
1,12152011 4:00,128.3
1,12152011 5:00,135
1,12152011 6:00,148.8
1,12152011 7:00,172.8
1,12152011 8:00,173.2
1,12152011 9:00,157.3
1,12152011 10:00,139.5
1,12152011 11:00,125.4
1,12152011 12:00,116.2
1,12152011 13:00,108.9
1,12152011 14:00,107.1
1,12152011 15:00,105.2
1,12152011 16:00,104.3
1,12152011 17:00,110.5
1,12152011 18:00,131.6
1,12152011 19:00,140.3
1,12152011 20:00,141.1
1,12152011 21:00,140.1
1,12152011 22:00,131.7
1,12152011 23:00,119.6
1,12162011 0:00,106.2
1,12162011 1:00,96.8
1,12162011 2:00,91.9
1,12162011 3:00,90
1,12162011 4:00,89.7
1,12162011 5:00,92.9
1,12162011 6:00,104.4
1,12162011 7:00,126.4
1,12162011 8:00,127.6
1,12162011 9:00,117.4
1,12162011 10:00,111.7
1,12162011 11:00,107.1
1,12162011 12:00,104.9
1,12162011 13:00,101.1
1,12162011 14:00,99
1,12162011 15:00,99.3
1,12162011 16:00,104.5
1,12162011 17:00,115.4
1,12162011 18:00,134.4
1,12162011 19:00,141.2
1,12162011 20:00,139.3
1,12162011 21:00,140.3
1,12162011 22:00,137.1
1,12162011 23:00,132.4
1,12172011 0:00,125.8
1,12172011 1:00,119.6
1,12172011 2:00,115.7
1,12172011 3:00,114
1,12172011 4:00,115.2
1,12172011 5:00,119.3
1,12172011 6:00,127.1
1,12172011 7:00,138.5
1,12172011 8:00,149.6
1,12172011 9:00,161.2
1,12172011 10:00,162.2
1,12172011 11:00,158.5
1,12172011 12:00,152.2
1,12172011 13:00,145.4
1,12172011 14:00,140.2
1,12172011 15:00,137.6
1,12172011 16:00,140.2
1,12172011 17:00,151.6
1,12172011 18:00,174.3
1,12172011 19:00,181.9
1,12172011 20:00,184.7
1,12172011 21:00,189
1,12172011 22:00,190.5
1,12172011 23:00,187
1,12182011 0:00,181.1
1,12182011 1:00,175.5
1,12182011 2:00,171.6
1,12182011 3:00,170
1,12182011 4:00,169.4
1,12182011 5:00,171.9
1,12182011 6:00,177.6
1,12182011 7:00,190.9
1,12182011 8:00,205.8
1,12182011 9:00,210
1,12182011 10:00,193.6
1,12182011 11:00,169.9
1,12182011 12:00,150.2
1,12182011 13:00,142.9
1,12182011 14:00,138.4
1,12182011 15:00,135.5
1,12182011 16:00,136.3
1,12182011 17:00,148.6
1,12182011 18:00,177.6
1,12182011 19:00,190.6
1,12182011 20:00,198.8
1,12182011 21:00,204.5
1,12182011 22:00,202.6
1,12182011 23:00,193.9
1,12192011 0:00,184.3
1,12192011 1:00,179.9
1,12192011 2:00,179.9
1,12192011 3:00,182.4
1,12192011 4:00,186.7
1,12192011 5:00,195.2
1,12192011 6:00,210.9
1,12192011 7:00,233
1,12192011 8:00,233.7
1,12192011 9:00,209.5
1,12192011 10:00,183.1
1,12192011 11:00,161.7
1,12192011 12:00,146.8
1,12192011 13:00,133.3
1,12192011 14:00,125.2
1,12192011 15:00,119.8
1,12192011 16:00,120.6
1,12192011 17:00,131.7
1,12192011 18:00,162.7
1,12192011 19:00,179
1,12192011 20:00,182.3
1,12192011 21:00,181.8
1,12192011 22:00,173.3
1,12192011 23:00,159.2
1,12202011 0:00,144.1
1,12202011 1:00,133.1
1,12202011 2:00,128.7
1,12202011 3:00,126.8
1,12202011 4:00,127.9
1,12202011 5:00,132.6
1,12202011 6:00,143.4
1,12202011 7:00,161.9
1,12202011 8:00,163.2
1,12202011 9:00,152.1
1,12202011 10:00,142.3
1,12202011 11:00,133.6
1,12202011 12:00,127.1
1,12202011 13:00,121
1,12202011 14:00,115
1,12202011 15:00,112.2
1,12202011 16:00,113.4
1,12202011 17:00,122.6
1,12202011 18:00,143.7
1,12202011 19:00,150.9
1,12202011 20:00,148.3
1,12202011 21:00,144.1
1,12202011 22:00,135
1,12202011 23:00,122.5
1,12212011 0:00,109.8
1,12212011 1:00,99.9
1,12212011 2:00,95.2
1,12212011 3:00,92.7
1,12212011 4:00,92.5
1,12212011 5:00,95.7
1,12212011 6:00,104.5
1,12212011 7:00,119.1
1,12212011 8:00,124.5
1,12212011 9:00,121.9
1,12212011 10:00,119.8
1,12212011 11:00,119
1,12212011 12:00,116.1
1,12212011 13:00,114.9
1,12212011 14:00,110.9
1,12212011 15:00,109.8
1,12212011 16:00,110.8
1,12212011 17:00,117.1
1,12212011 18:00,132.9
1,12212011 19:00,137.2
1,12212011 20:00,132.9
1,12212011 21:00,129.6
1,12212011 22:00,121.5
1,12212011 23:00,110.6
1,12222011 0:00,98
1,12222011 1:00,88.6
1,12222011 2:00,83.6
1,12222011 3:00,80.7
1,12222011 4:00,79.8
1,12222011 5:00,82.3
1,12222011 6:00,89.5
1,12222011 7:00,100.3
1,12222011 8:00,108.4
1,12222011 9:00,109.6
1,12222011 10:00,110.1
1,12222011 11:00,108.8
1,12222011 12:00,108.7
1,12222011 13:00,104.9
1,12222011 14:00,102
1,12222011 15:00,101.6
1,12222011 16:00,103
1,12222011 17:00,106.7
1,12222011 18:00,124
1,12222011 19:00,129.5
1,12222011 20:00,127.5
1,12222011 21:00,125.5
1,12222011 22:00,119.6
1,12222011 23:00,109.1
1,12232011 0:00,96.8
1,12232011 1:00,87
1,12232011 2:00,81.2
1,12232011 3:00,77.9
1,12232011 4:00,76.3
1,12232011 5:00,78
1,12232011 6:00,83.1
1,12232011 7:00,91.5
1,12232011 8:00,98.3
1,12232011 9:00,105
1,12232011 10:00,109.7
1,12232011 11:00,110.2
1,12232011 12:00,108
1,12232011 13:00,106.2
1,12232011 14:00,102.5
1,12232011 15:00,101.4
1,12232011 16:00,101.7
1,12232011 17:00,106.6
1,12232011 18:00,124.5
1,12232011 19:00,131
1,12232011 20:00,130.2
1,12232011 21:00,131.1
1,12232011 22:00,128.7
1,12232011 23:00,123
1,12242011 0:00,114.7
1,12242011 1:00,106.3
1,12242011 2:00,101.7
1,12242011 3:00,100.6
1,12242011 4:00,101.6
1,12242011 5:00,104.9
1,12242011 6:00,112.9
1,12242011 7:00,125.8
1,12242011 8:00,140.4
1,12242011 9:00,153.1
1,12242011 10:00,152.3
1,12242011 11:00,144.5
1,12242011 12:00,136.6
1,12242011 13:00,130.5
1,12242011 14:00,126.1
1,12242011 15:00,125
1,12242011 16:00,129.2
1,12242011 17:00,138.5
1,12242011 18:00,156
1,12242011 19:00,161.8
1,12242011 20:00,163.5
1,12242011 21:00,166.5
1,12242011 22:00,168.3
1,12242011 23:00,166.4
1,12252011 0:00,160.2
1,12252011 1:00,154.8
1,12252011 2:00,152.6
1,12252011 3:00,153.5
1,12252011 4:00,156.9
1,12252011 5:00,161.9
1,12252011 6:00,170.7
1,12252011 7:00,184.9
1,12252011 8:00,199.7
1,12252011 9:00,199.7
1,12252011 10:00,177.9
1,12252011 11:00,155.7
1,12252011 12:00,139.7
1,12252011 13:00,131.8
1,12252011 14:00,125.5
1,12252011 15:00,121.4
1,12252011 16:00,119.6
1,12252011 17:00,122.6
1,12252011 18:00,135.3
1,12252011 19:00,139.4
1,12252011 20:00,141.7
1,12252011 21:00,142.9
1,12252011 22:00,142
1,12252011 23:00,138.3
1,12262011 0:00,131.8
1,12262011 1:00,126.7
1,12262011 2:00,124.2
1,12262011 3:00,125
1,12262011 4:00,128.7
1,12262011 5:00,135
1,12262011 6:00,143.2
1,12262011 7:00,153.2
1,12262011 8:00,162.1
1,12262011 9:00,164.1
1,12262011 10:00,157.3
1,12262011 11:00,149
1,12262011 12:00,141
1,12262011 13:00,132.2
1,12262011 14:00,123.3
1,12262011 15:00,118.6
1,12262011 16:00,117.5
1,12262011 17:00,126.5
1,12262011 18:00,155.9
1,12262011 19:00,170.7
1,12262011 20:00,177.2
1,12262011 21:00,179.8
1,12262011 22:00,178.2
1,12262011 23:00,171.4
1,12272011 0:00,162
1,12272011 1:00,154.4
1,12272011 2:00,149.6
1,12272011 3:00,146.5
1,12272011 4:00,146.2
1,12272011 5:00,147.2
1,12272011 6:00,151.7
1,12272011 7:00,158.6
1,12272011 8:00,163.3
1,12272011 9:00,165.4
1,12272011 10:00,165.6
1,12272011 11:00,163.8
1,12272011 12:00,157
1,12272011 13:00,149
1,12272011 14:00,143.9
1,12272011 15:00,138.7
1,12272011 16:00,134
1,12272011 17:00,129.5
1,12272011 18:00,143
1,12272011 19:00,149
1,12272011 20:00,145.5
1,12272011 21:00,142.1
1,12272011 22:00,136.5
1,12272011 23:00,128.4
1,12282011 0:00,120.4
1,12282011 1:00,116.2
1,12282011 2:00,115.4
1,12282011 3:00,116.5
1,12282011 4:00,121
1,12282011 5:00,129.3
1,12282011 6:00,140.7
1,12282011 7:00,155.3
1,12282011 8:00,164.9
1,12282011 9:00,163.6
1,12282011 10:00,155.2
1,12282011 11:00,147.2
1,12282011 12:00,141.3
1,12282011 13:00,133.7
1,12282011 14:00,127.5
1,12282011 15:00,122.7
1,12282011 16:00,124.1
1,12282011 17:00,135.4
1,12282011 18:00,165.5
1,12282011 19:00,180.1
1,12282011 20:00,182.2
1,12282011 21:00,183.7
1,12282011 22:00,180.7
1,12282011 23:00,173.1
1,12292011 0:00,163.2
1,12292011 1:00,156.9
1,12292011 2:00,154.4
1,12292011 3:00,156.4
1,12292011 4:00,161.8
1,12292011 5:00,172.2
1,12292011 6:00,186.8
1,12292011 7:00,203.5
1,12292011 8:00,212.8
1,12292011 9:00,203.2
1,12292011 10:00,181.8
1,12292011 11:00,159.2
1,12292011 12:00,144.6
1,12292011 13:00,132.7
1,12292011 14:00,128.2
1,12292011 15:00,125.1
1,12292011 16:00,125.4
1,12292011 17:00,134.1
1,12292011 18:00,160.5
1,12292011 19:00,173.7
1,12292011 20:00,175.8
1,12292011 21:00,177.4
1,12292011 22:00,175.3
1,12292011 23:00,169
1,12302011 0:00,159.7
1,12302011 1:00,151.6
1,12302011 2:00,147.8
1,12302011 3:00,146.9
1,12302011 4:00,149
1,12302011 5:00,154.9
1,12302011 6:00,165
1,12302011 7:00,178.5
1,12302011 8:00,186.7
1,12302011 9:00,178.6
1,12302011 10:00,161.2
1,12302011 11:00,144.4
1,12302011 12:00,130.3
1,12302011 13:00,119.4
1,12302011 14:00,112.2
1,12302011 15:00,107
1,12302011 16:00,106.5
1,12302011 17:00,112.5
1,12302011 18:00,135.4
1,12302011 19:00,147.6
1,12302011 20:00,149.8
1,12302011 21:00,150
1,12302011 22:00,145.1
1,12302011 23:00,136.9
1,12312011 0:00,126.4
1,12312011 1:00,116.5
1,12312011 2:00,109.4
1,12312011 3:00,105.7
1,12312011 4:00,104.1
1,12312011 5:00,105
1,12312011 6:00,109.3
1,12312011 7:00,115.5
1,12312011 8:00,121.8
1,12312011 9:00,128
1,12312011 10:00,128.9
1,12312011 11:00,123.4
1,12312011 12:00,118.5
1,12312011 13:00,113.7
1,12312011 14:00,109.7
1,12312011 15:00,106.1
1,12312011 16:00,105.5
1,12312011 17:00,110.2
1,12312011 18:00,129.3
1,12312011 19:00,139.7
1,12312011 20:00,139.1
1,12312011 21:00,138.8
1,12312011 22:00,137.6
1,12312011 23:00,135
1,112012 0:00,133.2
