date,hour,LOAD,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25
12/4/2011,6,149.7,35,32,30,36,45,48,41,45,30,36,32,32,34,54,32,42,32,50,32,41,45,32,35,32,35
12/4/2011,7,159.7,37,32,29,36,45,47,37,45,30,37,32,32,32,54,32,42,30,49,32,39,44,32,36,32,34
12/4/2011,8,170.5,39,32,29,38,45,45,42,45,30,36,34,34,32,55,34,45,32,51,32,43,45,34,38,34,35
12/4/2011,9,172,42,45,34,44,48,52,49,48,34,45,39,36,36,58,41,50,37,56,37,49,54,39,43,41,44
12/4/2011,10,156.7,46,50,36,49,54,59,55,54,37,52,44,43,43,59,47,57,45,60,45,54,58,46,49,47,50
12/4/2011,11,135.3,51,54,46,51,59,62,60,59,43,57,48,50,51,62,54,62,50,65,48,61,59,54,52,54,56
12/4/2011,12,118,55,59,50,54,64,64,64,64,46,61,52,54,56,69,56,67,54,66,50,64,59,59,58,56,59
12/4/2011,13,111.9,60,63,52,56,68,65,67,68,50,64,55,55,59,70,59,69,59,65,52,67,59,61,61,59,62
12/4/2011,14,107.4,63,64,53,58,70,66,68,70,48,66,57,59,60,69,60,71,59,65,55,69,60,63,64,63,64
12/4/2011,15,105.4,66,64,53,60,70,65,68,70,52,67,58,59,62,67,62,70,57,65,55,68,60,63,65,63,65
12/4/2011,16,104.9,66,63,52,60,68,62,65,68,50,66,58,61,60,66,60,66,55,64,55,67,59,63,65,64,64
12/4/2011,17,109.2,63,55,52,60,64,57,63,64,48,60,55,59,58,65,54,64,55,62,55,62,57,57,59,60,57
12/4/2011,18,130.8,54,52,52,53,63,55,60,63,46,54,53,50,52,63,50,57,48,59,54,61,56,52,52,54,49
12/4/2011,19,137.9,51,50,50,56,61,54,57,61,45,50,49,46,50,63,48,55,46,59,52,61,53,48,49,51,44
12/4/2011,20,139,47,46,50,53,57,53,57,57,45,50,47,45,47,63,47,56,46,59,50,61,52,46,47,50,45
12/4/2011,21,140.3,46,45,50,55,59,48,56,59,45,49,47,45,51,62,47,59,46,59,46,59,52,45,47,46,45
12/4/2011,22,133.4,44,45,50,53,59,49,53,59,45,47,49,43,47,62,45,58,45,59,45,59,51,46,47,46,42
12/4/2011,23,124.6,43,43,50,54,57,48,55,58,45,49,46,45,45,63,45,54,45,60,43,58,51,50,46,46,42
12/4/2011,24,113.8,43,43,50,52,57,50,56,57,45,52,46,45,42,63,46,56,45,60,43,58,49,50,48,45,43
12/5/2011,1,106,42,45,50,47,57,52,56,57,45,51,46,45,41,63,45,57,45,59,45,58,48,50,49,47,45
12/5/2011,2,102.3,41,45,50,44,57,53,56,57,45,51,46,45,48,62,48,57,46,62,45,57,47,50,50,48,48
12/5/2011,3,100.8,42,46,49,50,55,54,57,55,45,54,45,48,47,62,45,53,45,61,46,58,46,52,50,51,50
12/5/2011,4,100.8,40,50,49,46,55,54,57,55,45,54,43,52,45,63,47,51,45,62,46,58,50,54,51,51,50
12/5/2011,5,104.1,42,50,50,47,55,55,59,55,45,55,41,42,45,63,45,50,41,61,45,57,51,52,51,54,53
12/5/2011,6,115.3,43,52,50,47,55,53,57,55,45,56,42,43,46,64,46,49,46,60,45,58,55,52,51,50,52
12/5/2011,7,135.2,44,52,50,48,54,56,61,54,45,54,42,41,46,62,48,58,46,61,43,56,56,52,52,48,51
12/5/2011,8,135.9,45,52,50,50,57,60,60,57,45,53,45,43,46,61,49,59,48,59,46,59,59,54,52,50,50
12/5/2011,9,128.3,49,57,51,50,61,61,60,61,45,60,47,45,48,63,55,65,50,60,52,62,62,59,56,54,57
12/5/2011,10,119.5,51,64,51,54,68,63,62,68,45,64,50,54,53,61,57,66,52,66,55,65,64,63,61,60,63
12/5/2011,11,113.1,55,64,53,55,70,68,64,70,48,67,53,57,58,68,59,65,54,69,55,67,67,63,66,65,67
12/5/2011,12,108.5,60,64,52,59,72,68,67,72,52,72,56,63,64,69,62,65,59,66,59,69,70,64,68,68,69
12/5/2011,13,105,65,64,51,59,72,67,70,72,54,71,61,63,66,72,65,69,57,67,59,70,71,66,69,69,69
12/5/2011,14,104.8,69,64,51,60,72,68,69,72,50,71,63,63,67,67,67,69,59,69,61,70,70,68,70,70,70
12/5/2011,15,103.8,69,64,51,58,70,69,68,70,46,69,63,64,68,66,67,68,55,70,61,69,67,68,70,69,69
12/5/2011,16,104.9,69,64,51,58,68,68,67,68,46,69,63,64,67,65,67,68,54,65,59,67,68,64,70,68,68
12/5/2011,17,112.1,67,64,52,58,64,64,64,64,46,67,63,63,65,64,66,66,54,63,55,64,66,63,69,67,66
12/5/2011,18,132.5,64,63,52,58,63,62,61,63,46,65,61,61,64,64,65,65,54,64,55,62,65,61,66,66,64
12/5/2011,19,138.8,62,59,52,59,63,61,61,63,46,63,61,61,63,62,64,63,54,62,55,62,64,61,65,65,63
12/5/2011,20,135.5,63,59,54,57,63,62,58,63,48,63,60,59,62,61,64,63,54,63,55,60,64,59,64,65,62
12/5/2011,21,131.7,63,59,54,59,63,61,54,63,50,63,59,59,62,59,63,63,54,64,55,61,64,55,63,64,62
12/5/2011,22,122.2,62,57,54,57,61,61,53,61,52,62,58,59,61,60,62,62,54,62,55,60,63,57,62,64,61
12/5/2011,23,110.1,63,57,55,57,61,61,53,60,52,62,59,61,61,59,62,59,54,64,55,60,63,55,62,63,60
12/5/2011,24,96.6,62,55,56,58,59,61,54,59,52,61,60,59,60,60,63,57,54,63,55,59,62,57,61,61,60
12/6/2011,1,88.1,61,54,56,58,61,61,54,61,52,61,60,59,60,60,62,57,54,63,55,59,61,55,61,62,57
12/6/2011,2,84.6,61,55,57,59,57,61,54,57,52,61,60,59,59,59,61,55,55,60,55,58,62,54,61,61,57
12/6/2011,3,83.1,60,55,56,59,55,59,50,55,52,60,60,59,58,58,61,54,59,62,55,57,61,54,59,61,60
12/6/2011,4,83.3,60,54,57,60,57,56,49,57,52,58,60,59,58,58,61,53,59,59,55,55,61,54,59,60,58
12/6/2011,5,87.2,61,54,57,60,55,55,50,55,52,60,60,59,59,58,61,55,59,61,55,53,60,52,60,61,55
12/6/2011,6,97.7,61,54,57,61,57,58,50,57,52,60,60,61,59,56,60,57,59,58,55,54,61,50,59,60,55
12/6/2011,7,118.2,61,54,57,60,57,57,49,57,52,59,60,59,59,55,60,56,59,55,57,54,60,54,59,61,53
12/6/2011,8,120.8,60,55,57,60,59,59,56,59,54,60,60,59,60,56,60,58,59,57,57,58,61,57,59,61,58
12/6/2011,9,112.8,62,59,57,61,63,62,62,64,54,62,61,61,60,62,61,63,61,70,57,63,64,61,62,62,60
12/6/2011,10,107.5,63,64,57,62,64,67,69,68,52,67,61,61,62,66,62,71,61,71,59,70,68,64,64,64,63
12/6/2011,11,105,65,68,57,63,70,69,74,70,54,70,61,63,63,67,64,73,63,70,59,71,71,68,67,65,68
12/6/2011,12,103.5,68,70,58,65,70,72,75,72,54,73,64,64,65,66,65,74,63,72,59,72,72,68,71,67,71
12/6/2011,13,102.1,71,70,59,66,70,74,75,72,54,74,65,68,66,67,67,76,64,71,59,73,73,70,72,69,71
12/6/2011,14,101.1,73,72,61,67,73,73,75,72,54,75,65,68,67,66,70,75,64,72,59,75,73,70,73,69,72
12/6/2011,15,100.2,73,72,61,68,72,72,73,72,54,74,66,68,69,66,70,75,63,69,59,74,73,72,73,71,72
12/6/2011,16,101.8,72,70,59,69,72,71,73,72,54,73,66,68,68,65,70,73,64,69,59,71,71,70,72,71,72
12/6/2011,17,106.9,71,70,59,68,70,68,70,70,54,71,64,68,66,63,68,70,63,67,61,66,68,68,70,70,68
12/6/2011,18,126.9,69,64,59,67,68,67,68,68,54,70,64,66,65,62,68,68,63,62,61,65,70,68,68,68,64
12/6/2011,19,133.4,68,64,59,65,64,65,67,66,54,69,64,64,65,62,67,67,63,63,61,65,67,64,67,66,63
12/6/2011,20,132.5,67,59,58,65,63,64,67,64,54,67,63,66,65,63,66,67,63,63,59,62,67,63,66,66,63
12/6/2011,21,128.6,66,59,58,66,63,63,65,63,54,66,63,64,65,63,65,65,63,62,59,62,67,61,65,66,60
12/6/2011,22,120.4,66,59,58,66,64,62,64,63,54,65,62,63,65,64,65,63,63,63,61,62,66,61,64,66,63
12/6/2011,23,106.7,65,61,58,65,63,62,63,63,55,64,63,63,64,62,64,62,61,63,61,59,66,61,63,65,62
12/6/2011,24,92.9,65,64,57,66,63,62,62,63,55,64,63,63,64,62,64,62,61,63,61,60,66,59,63,65,62
12/7/2011,1,84.3,66,64,59,65,64,61,61,61,55,63,62,63,63,63,64,63,61,65,61,63,65,61,63,65,62
12/7/2011,2,80.4,66,63,60,64,63,59,61,61,54,62,62,63,62,63,64,65,63,65,61,63,65,59,63,65,62
12/7/2011,3,78.1,66,59,59,64,63,61,62,61,55,63,63,63,63,63,64,67,63,65,61,63,65,59,64,65,62
12/7/2011,4,78.3,66,59,54,65,63,61,62,63,52,63,63,63,62,63,65,67,63,66,61,64,64,59,63,64,63
12/7/2011,5,80.8,66,61,54,65,63,61,63,63,52,63,63,63,64,63,65,66,63,65,61,64,64,59,63,65,62
12/7/2011,6,91,65,63,53,65,63,61,65,63,52,63,63,63,64,64,65,66,63,64,63,64,65,61,64,65,63
12/7/2011,7,111.2,64,64,51,62,63,62,64,63,50,64,64,63,63,63,64,65,61,65,63,63,65,61,65,65,63
12/7/2011,8,114.2,64,64,50,61,63,64,65,63,50,64,62,63,63,65,64,66,61,66,63,64,65,61,65,65,63
12/7/2011,9,108.2,66,64,50,61,66,66,68,64,48,67,61,63,65,64,66,70,59,67,63,68,67,63,66,67,66
12/7/2011,10,104.7,68,68,49,62,70,69,73,70,48,69,61,63,67,64,66,72,59,69,61,72,69,64,67,69,69
12/7/2011,11,105.1,70,70,49,61,72,71,76,72,46,72,62,64,68,65,68,73,61,70,61,74,71,70,70,68,70
12/7/2011,12,105.6,69,70,48,61,73,73,75,73,46,73,62,63,68,67,68,73,61,71,61,74,72,70,72,69,72
12/7/2011,13,105.8,67,72,49,62,75,74,76,73,46,74,61,63,68,68,68,74,61,71,61,75,74,72,72,70,72
12/7/2011,14,103.7,66,72,50,63,77,74,77,75,46,75,62,63,67,67,64,75,61,69,55,75,75,73,73,66,73
12/7/2011,15,103.2,65,72,47,63,77,74,75,77,45,76,62,63,64,67,64,74,55,68,54,74,76,73,73,67,73
12/7/2011,16,104.8,65,72,42,55,73,73,74,73,43,75,62,63,64,65,64,72,54,67,52,72,75,72,73,66,73
12/7/2011,17,108.8,59,70,42,54,70,71,71,70,37,72,57,57,63,64,63,71,52,66,46,70,73,70,73,69,72
12/7/2011,18,129,56,70,39,52,63,70,70,68,34,70,55,54,62,66,61,70,50,66,45,68,72,70,61,63,71
12/7/2011,19,135.3,53,70,35,49,59,68,71,59,32,61,50,54,58,65,56,68,46,66,43,69,71,64,57,58,63
12/7/2011,20,130.5,51,55,36,47,55,68,65,55,32,57,44,45,54,66,54,59,43,67,41,61,71,55,55,55,56
12/7/2011,21,125.5,50,54,35,44,54,64,59,54,32,55,42,43,51,67,46,57,41,63,41,57,62,54,52,49,55
12/7/2011,22,115.7,48,54,34,42,52,57,56,52,32,53,41,41,45,59,44,56,43,61,41,55,52,54,50,46,54
12/7/2011,23,105.6,46,50,34,41,50,56,55,52,30,51,40,41,44,58,43,53,41,58,39,52,50,52,47,45,49
12/7/2011,24,96.8,44,45,32,41,50,51,54,48,28,48,38,41,43,56,43,53,39,56,37,52,48,46,45,44,47
12/8/2011,1,92.4,43,45,32,40,46,47,50,46,28,48,39,41,42,55,42,51,37,54,37,49,46,45,44,42,46
12/8/2011,2,92.3,42,43,31,39,46,45,48,45,27,46,38,39,41,54,41,48,37,51,36,47,45,45,42,42,44
12/8/2011,3,94.9,41,39,30,38,45,44,47,43,27,45,36,37,40,49,40,47,36,50,36,46,45,43,41,42,43
12/8/2011,4,100.1,40,37,30,35,43,42,47,41,27,44,35,36,39,48,39,45,36,48,34,45,44,41,40,40,41
12/8/2011,5,111.2,38,37,29,36,43,39,45,41,27,42,34,36,37,47,37,44,32,47,32,43,44,39,40,39,41
12/8/2011,6,131.1,37,37,29,34,41,37,43,39,27,41,34,34,36,47,35,43,32,46,32,41,44,37,38,38,39
12/8/2011,7,162.4,34,37,29,33,37,37,41,37,27,40,34,34,35,46,33,42,28,46,32,40,44,37,37,37,37
12/8/2011,8,168.5,33,37,29,34,39,40,43,37,27,40,34,32,34,47,33,42,30,46,32,42,44,37,37,37,38
12/8/2011,9,155.1,40,37,31,38,43,43,44,41,27,42,37,36,37,48,38,45,36,47,36,44,45,37,41,39,40
12/8/2011,10,145.1,42,43,35,42,45,46,46,45,30,44,40,37,39,49,41,47,39,49,41,46,46,41,44,42,44
12/8/2011,11,134.5,44,45,37,45,46,48,49,46,32,47,43,39,42,50,43,50,43,51,41,49,47,43,46,43,45
12/8/2011,12,126.2,47,45,41,46,48,49,50,48,34,49,44,43,44,51,45,52,45,53,45,52,47,45,47,45,47
12/8/2011,13,119.2,49,46,46,49,50,50,51,52,37,50,44,45,45,52,47,54,48,54,46,52,50,46,49,47,49
12/8/2011,14,115.9,50,50,47,51,52,51,52,54,43,52,46,46,46,51,48,55,48,54,48,53,49,46,51,49,51
12/8/2011,15,111.8,51,50,49,52,54,51,52,54,43,52,48,46,48,51,49,57,50,52,50,53,50,48,52,50,50
12/8/2011,16,114.1,51,48,49,51,52,51,52,54,43,52,48,48,48,48,50,54,50,51,50,53,49,46,51,51,50
12/8/2011,17,129.9,49,45,48,50,48,48,46,50,39,49,46,46,46,47,43,51,45,48,46,50,47,45,48,47,43
12/8/2011,18,163.3,40,37,45,43,43,45,47,43,37,44,43,41,42,47,38,45,39,45,41,44,45,37,42,41,39
12/8/2011,19,180.7,37,36,40,45,39,46,42,41,36,40,41,37,39,47,36,42,34,42,37,39,45,37,39,39,36
12/8/2011,20,186.2,35,34,37,44,37,44,38,39,36,38,39,37,37,47,36,41,34,41,36,41,43,36,36,37,34
12/8/2011,21,189.3,34,32,35,44,36,42,37,37,32,36,37,36,37,47,34,40,32,43,36,37,44,34,36,37,34
12/8/2011,22,186,32,32,35,41,36,38,36,37,34,37,36,34,34,47,33,39,32,43,36,35,43,34,34,36,33
12/8/2011,23,175,31,32,34,42,36,38,37,36,32,37,37,36,35,47,32,39,32,42,34,36,43,32,32,35,32
12/8/2011,24,162.9,30,30,33,41,36,36,38,36,32,33,37,32,34,47,32,41,32,42,34,38,42,32,31,33,31
12/9/2011,1,157.5,31,30,33,36,39,37,36,36,30,33,36,32,33,46,31,39,32,43,34,41,41,32,32,33,31
12/9/2011,2,156.8,31,30,32,37,41,37,43,36,32,34,35,32,33,48,32,41,32,44,32,43,39,32,32,33,30
12/9/2011,3,157.9,30,30,31,35,41,34,43,36,30,36,34,32,34,50,33,40,30,46,32,41,39,30,32,35,30
12/9/2011,4,160.4,30,30,31,32,41,36,41,34,30,36,33,32,36,51,33,43,30,46,32,41,39,32,33,34,31
12/9/2011,5,165.7,29,30,30,36,41,38,43,36,32,36,33,30,34,52,32,41,30,47,32,41,38,32,34,34,33
12/9/2011,6,178.4,30,30,28,33,43,38,41,37,30,36,34,30,35,52,31,42,30,48,30,40,40,30,34,33,33
12/9/2011,7,198.8,30,30,29,34,43,40,41,37,30,37,33,32,36,53,31,43,32,48,32,39,41,32,34,33,33
12/9/2011,8,195.9,32,32,29,35,43,44,43,39,28,40,34,32,34,54,32,45,32,50,30,41,41,36,35,37,37
12/9/2011,9,175.6,34,39,32,39,46,49,46,43,30,45,36,34,38,57,36,47,34,55,32,46,51,41,38,41,40
12/9/2011,10,157.4,39,45,34,45,50,53,50,48,32,48,39,37,42,62,44,51,41,58,36,51,55,45,41,45,45
12/9/2011,11,141.1,43,50,40,48,52,56,56,52,34,52,44,43,43,64,47,59,46,61,37,54,58,48,46,48,48
12/9/2011,12,131.7,49,52,45,51,54,60,59,54,37,53,48,46,46,65,49,63,50,67,43,59,60,52,49,49,49
12/9/2011,13,126.2,51,50,48,52,57,63,62,57,41,55,50,50,48,65,52,65,52,67,46,64,61,54,54,52,50
12/9/2011,14,120.2,53,50,51,54,61,61,64,59,43,55,51,50,50,67,55,66,54,66,50,65,61,52,56,53,49
12/9/2011,15,117.4,55,46,52,53,59,63,64,59,45,54,52,52,52,65,52,67,54,68,50,65,61,52,56,54,50
12/9/2011,16,118.9,55,48,50,53,59,60,64,61,43,54,50,52,51,63,53,64,52,65,48,64,58,50,56,54,51
12/9/2011,17,129.7,52,46,48,51,57,60,62,57,41,53,48,46,50,62,47,61,46,63,46,62,56,46,54,52,48
12/9/2011,18,152.3,47,46,44,49,55,57,58,55,37,51,46,43,46,63,45,59,43,62,43,59,54,45,47,48,46
12/9/2011,19,157.5,44,45,42,48,55,53,55,55,37,51,45,43,43,60,43,57,41,62,39,57,53,46,47,46,46
12/9/2011,20,154.1,42,45,41,46,55,51,54,54,37,51,43,41,42,60,42,57,37,60,39,55,53,45,46,45,45
12/9/2011,21,151.5,43,45,40,44,55,50,52,54,36,51,42,39,41,59,41,55,37,58,39,54,53,45,45,43,47
12/9/2011,22,145.9,42,45,40,40,54,51,51,52,36,51,41,37,40,60,40,55,36,57,37,53,52,46,44,43,48
12/9/2011,23,137.7,40,45,39,40,54,51,52,52,36,51,42,36,39,60,41,55,36,56,37,52,53,46,44,42,47
12/9/2011,24,126.7,39,45,40,42,54,52,52,52,34,50,40,36,40,59,40,54,36,53,41,52,52,46,43,43,47
12/10/2011,1,118.2,39,45,38,38,52,50,51,50,34,50,39,36,40,58,41,54,36,54,41,51,51,46,42,42,47
12/10/2011,2,114.3,38,45,37,40,50,49,50,50,34,49,42,36,40,56,41,53,34,54,41,50,51,45,42,41,46
12/10/2011,3,112.5,39,45,36,39,50,48,50,48,32,49,42,36,40,56,41,52,32,53,39,50,51,45,42,40,46
